Customer_Name,Orders_Count,CLV
"Sean Miller",5,25043.05
"Tamara Chand",5,19052.22
"Raymond Buch",6,15117.34
"Tom Ashbrook",4,14595.62
"Adrian Barton",10,14473.57
"Ken Lonsdale",12,14175.23
"Sanjit Chand",9,14142.33
"Hunter Lopez",6,12873.3
"Sanjit Engle",11,12209.44
"Christopher Conant",5,12129.07
"Todd Sumrall",6,11891.75
"Greg Tran",11,11820.12
"Becky Martin",4,11789.63
"Seth Vernon",10,11470.95
"Caroline Jumper",8,11164.97
"Clay Ludtke",12,10880.55
"Maria Etezadi",10,10663.73
"Karen Ferguson",7,10604.27
"Bill Shonely",5,10501.65
"Edward Hooks",12,10310.88
"John Lee",11,9799.92
"Grant Thornton",3,9351.21
"Helen Wasserman",8,9300.25
"Tom Boeckenhauer",7,9133.99
"Peter Fuller",4,9062.86
"Christopher Martinez",4,8954.02
"Justin Deggeller",8,8828.03
"Joe Elijah",10,8697.84
"Laura Armstrong",11,8673.22
"Pete Kriz",12,8646.93
"Daniel Raglin",8,8350.87
"Natalie Fritzler",7,8322.83
"Karen Daniels",5,8282.36
"Nick Crebassa",7,8241.74
"Harry Marie",10,8236.76
"Keith Dawkins",12,8181.26
"Sean Braxton",7,8057.89
"Zuschuss Carroll",13,8025.71
"Joseph Holt",6,7955
"Nora Preis",7,7903.18
"Anna Häberlin",12,7888.29
"Adam Bellavance",8,7755.62
"Jim Epp",7,7754.98
"Jane Waco",6,7721.71
"Lena Creighton",12,7663.13
"John Murray",7,7625.08
"Jonathan Doherty",11,7610.86
"Patrick O'Brill",11,7473.83
"Maribeth Schnelling",10,7443.69
"Rick Wilson",7,7397.4
"Brian Moss",11,7294.18
"Paul Prost",10,7252.61
"Natalie Webber",7,7234.01
"Dean percer",11,7198.76
"Fred Hopkins",8,6987.2
"Rick Huthwaite",6,6979.18
"Penelope Sewall",7,6843.63
"Brenda Bowman",9,6765.73
"Joel Eaton",13,6760.82
"Yana Sorensen",8,6720.44
"Andy Reiter",6,6608.45
"Dan Reichenbach",9,6528.03
"Grace Kelly",9,6497.27
"Joseph Airdo",8,6491.03
"Nathan Mautz",7,6459.34
"Valerie Dominguez",6,6442.25
"Sarah Brown",6,6411
"James Galang",11,6366.39
"Darrin Martin",7,6345.1
"Corinna Mitchell",6,6339.56
"Max Jones",7,6320.75
"Brosina Hoffman",8,6255.35
"Rob Lucas",8,6234.91
"William Brown",11,6160.1
"Victoria Wilson",10,6134.04
"Shirley Daniels",9,6121.11
"Quincy Jones",9,6108.34
"Alan Dominguez",8,6106.88
"Cassandra Brandow",10,6076.14
"Greg Maxwell",3,6049.97
"Shahid Collister",9,5992.54
"Kristen Hastings",7,5990.8
"Robert Marley",5,5979.1
"Keith Herrera",7,5952.86
"Ben Ferrer",11,5907.97
"Christine Phan",8,5888.28
"Bill Donatelli",12,5718.52
"Cindy Stewart",6,5690.06
"Anne McFarland",8,5664.02
"Ross Baird",8,5633.32
"Katherine Murray",8,5620.19
"Alex Avila",5,5563.56
"Suzanne McNair",12,5563.39
"Naresj Patel",6,5529.62
"Amy Cox",7,5527.85
"Mick Hernandez",9,5503.09
"Dennis Pardue",9,5480.72
"Emily Phan",17,5478.06
"Yoseph Carroll",5,5454.35
"Stefania Perrino",9,5440.32
"Luke Weiss",7,5420.51
"Cathy Prescott",8,5402.25
"Thomas Seio",7,5371.09
"Tonja Turnell",7,5364.81
"Mitch Webber",7,5341.9
"Tom Prescott",5,5329
"Tamara Willingham",7,5278.83
"Dianna Wilson",5,5271.63
