Customer_Name,Revenue,Customer_Rank
"Sean Miller",25043.05,1
"Tamara Chand",19052.217999999997,2
"Raymond Buch",15117.339,3
"Tom Ashbrook",14595.62,4
"Adrian Barton",14473.570999999998,5
"Ken Lonsdale",14175.229,6
"Sanjit Chand",14142.333999999999,7
"Hunter Lopez",12873.297999999999,8
"Sanjit Engle",12209.438000000002,9
"Christopher Conant",12129.072,10
"Todd Sumrall",11891.751,11
"Greg Tran",11820.119999999997,12
"Becky Martin",11789.630000000003,13
"Seth Vernon",11470.949999999997,14
"Caroline Jumper",11164.974,15
"Clay Ludtke",10880.545999999998,16
"Maria Etezadi",10663.727999999997,17
"Karen Ferguson",10604.266,18
"Bill Shonely",10501.652999999998,19
"Edward Hooks",10310.880000000001,20
"John Lee",9799.923,21
"Grant Thornton",9351.211999999998,22
"Helen Wasserman",9300.253999999997,23
"Tom Boeckenhauer",9133.99,24
"Peter Fuller",9062.863999999998,25
"Christopher Martinez",8954.02,26
"Justin Deggeller",8828.030499999999,27
"Joe Elijah",8697.843,28
"Laura Armstrong",8673.221999999998,29
"Pete Kriz",8646.933999999997,30
"Daniel Raglin",8350.868,31
"Natalie Fritzler",8322.826000000001,32
"Karen Daniels",8282.358,33
"Nick Crebassa",8241.739,34
"Harry Marie",8236.7648,35
"Keith Dawkins",8181.256,36
"Sean Braxton",8057.890999999999,37
"Zuschuss Carroll",8025.707000000001,38
"Joseph Holt",7954.998,39
"Nora Preis",7903.182500000001,40
"Anna Häberlin",7888.294000000001,41
"Adam Bellavance",7755.619999999999,42
"Jim Epp",7754.976,43
"Jane Waco",7721.714,44
"Lena Creighton",7663.125999999999,45
"John Murray",7625.076000000002,46
"Jonathan Doherty",7610.864,47
"Patrick O'Brill",7473.828200000001,48
"Maribeth Schnelling",7443.6900000000005,49
"Rick Wilson",7397.401000000001,50
"Brian Moss",7294.185,51
"Paul Prost",7252.608000000002,52
"Natalie Webber",7234.013999999999,53
"Dean percer",7198.760999999999,54
"Fred Hopkins",6987.195999999999,55
"Rick Huthwaite",6979.18,56
"Penelope Sewall",6843.633999999999,57
